episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,lr,wall_time
290,0.000924,0.757918,-0.000113,0.000753,0.082606,0.004313,8,0.000095,1324.910751
291,0.000975,0.744795,-0.000196,0.000568,0.083231,0.005862,4,0.000095,1328.851771
292,0.001001,0.737776,-0.000078,0.001658,0.083751,0.003551,8,0.000095,1332.953246
293,0.000994,0.739829,-0.000061,0.000309,0.083985,0.004621,5,0.000095,1337.385291
294,0.001046,0.726176,-0.000099,0.001356,0.084325,0.003190,9,0.000095,1341.913623
295,0.001010,0.735653,0.000256,0.003392,0.085043,0.004781,7,0.000095,1345.947828
296,0.000930,0.756554,0.000033,0.000651,0.085586,0.004973,8,0.000095,1350.322541
297,0.001090,0.714591,0.000253,0.003471,0.085692,0.004393,4,0.000095,1354.641786
298,0.001047,0.725942,-0.000156,0.001088,0.085640,0.006264,4,0.000095,1358.861170
299,0.000960,0.748658,-0.000001,0.001012,0.085839,0.005344,8,0.000095,1363.270976
300,0.001024,0.731882,0.000070,0.002085,0.086453,0.006251,4,0.000095,1367.437452
301,0.000953,0.750549,-0.000062,0.000884,0.086793,0.003378,7,0.000095,1371.786559
302,0.001035,0.728912,-0.000164,0.001763,0.086892,0.004059,5,0.000095,1376.222207
